"","contrast","estimate","std.error","statistic","p.value","generation","metabolite","treatment","sex","exposure","pAdj","results","pAdjALL","SignifAll"
"107","CrossesMhPc",-2.06073477247567,2.4974792355548,-0.825125888190974,0.410151389902537,"F3","TAG","HSD","female","Maternal",0.634452931255487," ",0.789779885672793," "
"108","CrossesMcPh",-12.1252005356302,2.49250165736521,-4.86467100224425,2.12185760456557e-06,"F3","TAG","HSD","female","Paternal",2.47134003355284e-05,"***",3.13731802960766e-05,"***"
"109","CrossesMhPh",-0.742304388028352,1.81890115795541,-0.408105951652018,0.683672977530053,"F1","Glycogen","HSD","female","Parental",0.810582332640423," ",0.986204225426628," "
"110","CrossesMhPc",-2.49031621039125,1.83036210634591,-1.3605593132404,0.175326389911133,"F1","Glycogen","HSD","female","Maternal",0.361610679191713," ",0.4425922281903," "
"111","CrossesMcPh",-7.28042972748386,1.79331920467093,-4.05975116338522,7.27328563487269e-05,"F1","Glycogen","HSD","female","Paternal",0.000450034548657748,"***",0.000669142278408288,"***"
"112","CrossesMhPh",-12.1783103469292,2.05135877908177,-5.93670423287948,1.43079082167877e-08,"F2","Glycogen","HSD","female","Parental",3.54120728365497e-07,"***",3.94898266783342e-07,"***"
"113","CrossesMhPc",-12.3034434167054,2.09008576331728,-5.88657347590272,1.84736086018215e-08,"F2","Glycogen","HSD","female","Maternal",3.65777450316066e-07,"***",4.498867035973e-07,"***"
"114","CrossesMcPh",-6.27085792396348,2.07118677560942,-3.02766413816947,0.00282026489742658,"F2","Glycogen","HSD","female","Paternal",0.0121394010802274,"*",0.0174267114557403,"*"
"115","CrossesMhPh",-5.40891717771985,1.6704064454348,-3.23808447489075,0.00138017242104699,"F3","Glycogen","HSD","female","Parental",0.0068318534841826,"**",0.00952318970522424,"**"
"116","CrossesMhPc",-3.74584361747942,1.67387707849771,-2.23782478749352,0.0261865899968985,"F3","Glycogen","HSD","female","Maternal",0.0815276484351996,".",0.105921181373887," "
"117","CrossesMcPh",-6.83018308905094,1.67080463085431,-4.08796035330507,6.00868266229046e-05,"F3","Glycogen","HSD","female","Paternal",0.00039657305571117,"***",0.000578510377253081,"***"
"118","CrossesMhPh",-2.56495525991201,1.61885637082223,-1.58442423067418,0.11482377621491,"F1","Trehalose","HSD","female","Parental",0.275571731517719," ",0.324835012380862," "
"119","CrossesMhPc",-0.95304390171081,1.62905683126862,-0.585028025675834,0.55924951677211,"F1","Trehalose","HSD","female","Maternal",0.747656422016961," ",0.913446901337656," "
"120","CrossesMcPh",-0.680787743231735,1.59608794942037,-0.426535231644954,0.670219211139385,"F1","Trehalose","HSD","female","Paternal",0.810582332640423," ",0.986204225426628," "
"121","CrossesMhPh",-2.70958939932485,0.986038615338253,-2.74795465124391,0.00659717230090133,"F2","Trehalose","HSD","female","Parental",0.0249014662568102,"*",0.0348551038980874,"*"
"122","CrossesMhPc",-2.55774419484397,1.00465374122516,-2.54589625249874,0.0117241414897234,"F2","Trehalose","HSD","female","Maternal",0.0393454239824617,"*",0.0539310508527278,"."
"123","CrossesMcPh",-2.61599379902182,0.995569454331618,-2.62763565880803,0.00932775950787541,"F2","Trehalose","HSD","female","Paternal",0.0324016909220935,"*",0.0438828685938684,"*"
"124","CrossesMhPh",-0.498815035018947,1.11437421505815,-0.447618967020805,0.654847683065102,"F3","Trehalose","HSD","female","Parental",0.800369390412902," ",0.979274604144311," "
